商品ＣＤ,商品区分,商品名,商品予定名,売価単価,先生用商品ＣＤ,弁当区分,出力区分,パン箱入数,クラス分け名称1,クラス分けグラム出力区分1,クラス分け名称2,クラス分けグラム出力区分2,クラス分け名称3,クラス分けグラム出力区分3,クラス分け名称4,クラス分けグラム出力区分4,クラス分け名称5,クラス分けグラム出力区分5,修正担当者ＣＤ,修正日
133,1,福神漬け,福神漬け,0,0,2,2,0,漬物,0,,0,,0,,,,,2,2011/10/7 18:04
134,1,もち米,もち米,0,604,1,1,0,,0,,0,,0,,0,,0,1,2016/12/7 11:26
135,1,砂糖,砂糖,0,0,2,0,0,,,,,,,,,,,9999,2011/9/14 0:00
136,1,そうめん,そうめん,0,522,1,2,0,そうめん,1,,0,,0,,0,,0,2,2019/7/19 17:04
137,1,ごはんとスープ,ごはんとスープ,0,492,1,2,0,ごはん,1,スープ,0,皿,0,カップ,0,おちゃわん,0,2,2021/1/20 14:25
138,1,お弁当,お弁当,0,0,1,0,0,,0,,0,,0,,0,,0,2,2015/2/16 16:01
139,1,鉢盛,鉢盛,0,0,1,0,0,,0,,0,,0,,0,,0,2,2015/2/25 11:20
140,1,消費税,消費税,0,0,2,0,0,,,,,,,,,,,9999,2011/9/14 0:00
141,1,チーズ,チーズ,0,0,0,2,0,チーズ,0,,0,,0,,0,,0,3,2023/3/13 17:02
142,1,おやつ　予備,おやつ　予備,70,0,3,0,0,,0,,0,,0,,0,,0,2,2011/11/15 13:16
143,1,延長用おやつ,延長おやつ,0,0,1,0,0,,0,,0,,0,,0,,0,2,2014/3/20 13:01
148,1,さつま芋,さつま芋,0,0,2,0,0,,,,,,,,,,,9999,2011/9/14 0:00
149,1,すいか,すいか,0,0,1,0,0,,0,,0,,0,,0,,0,2,2014/7/9 15:52
150,1,サンドイッチ,サンドイッチ,0,491,1,2,0,,0,,0,,0,,0,,0,2,2015/11/4 11:59
151,0,ジャム,サンドイッチ,0,0,2,0,0,,,,,,,,,,,9999,2011/9/14 0:00
152,1,パン,パン,0,503,1,0,0,,0,,0,,0,,0,,0,6,2016/7/20 10:53
153,0,ピーナッツバター,サンドイッチ,0,0,2,0,0,,,,,,,,,,,9999,2011/9/14 0:00
154,0,マヨネーズ,サンドイッチ,0,0,2,0,0,,,,,,,,,,,9999,2011/9/14 0:00
155,0,レタス,サンドイッチ,0,0,2,0,0,,,,,,,,,,,9999,2011/9/14 0:00
156,0,チェリー缶,ﾁｪﾘｰ缶,0,0,1,0,0,,0,,0,,0,,0,,0,2,2014/7/9 14:48
157,1,パイン缶,ﾊﾟｲﾝ缶,0,0,1,0,0,,0,,0,,0,,0,,0,2,2018/6/1 13:31
158,1,もも缶,もも缶,0,0,1,0,0,,0,,0,,0,,0,,0,2,2020/2/21 11:02
159,1,みかん缶,みかん缶,0,0,1,0,0,,0,,0,,0,,0,,0,2,2018/6/1 13:31
160,1,おかずパック　園児,おかずパック,0,482,1,0,0,,0,,0,,0,,0,,0,2,2015/7/17 13:17
161,0,おやつ　同窓会,同窓会,0,0,2,0,0,,0,,0,,0,,0,,0,2,2015/7/17 13:05
162,1,からあげ,からあげ,0,0,1,0,42,,0,,0,,0,,0,,0,4,2023/10/27 10:41
163,0,からあげとポテト　同窓会,同窓会,0,0,2,0,0,,0,,0,,0,,0,,0,2,2015/7/17 13:05
164,1,クリームコンフェ,クリームコンフェ,0,0,1,0,0,,0,,0,,0,,0,,0,2,2015/7/17 13:05
165,0,クレープ　同窓会,同窓会,0,0,2,0,0,,0,,0,,0,,0,,0,2,2015/7/17 13:06
166,1,チキンナゲット,ﾁｷﾝﾅｹﾞｯﾄ,0,0,1,0,0,,0,,0,,0,,0,,0,2,2015/7/17 13:06
167,1,おにぎり,おにぎり,0,0,1,0,0,,0,,0,,0,,0,,0,2,2015/10/14 11:00
168,1,たこやき,たこやき,0,0,1,0,42,,0,,0,,0,,0,,0,4,2024/10/16 12:44
169,1,ドーナッツ　,ドーナツ,0,0,1,1,0,,0,,0,,0,,0,,0,7,2017/10/2 13:15
170,0,ハヤシライス　同窓会,同窓会,0,0,2,0,0,,0,,0,,0,,0,,0,2,2015/7/17 13:06
171,1,カレー,ｶﾚー,0,0,1,2,0,ごはん,1,ルウ,1,皿,0,,0,,0,2,2018/6/18 14:37
172,0,プチドック　同窓会,同窓会,0,0,2,0,0,,0,,0,,0,,0,,0,2,2015/7/17 13:06
173,1,フランクフルト,ﾌﾗﾝｸﾌﾙﾄ,0,0,1,0,0,,0,,0,,0,,0,,0,2,2015/7/17 13:06
174,0,ポテト　同窓会,同窓会,0,0,2,0,0,,0,,0,,0,,0,,0,2,2015/7/17 13:07
175,1,焼きそば　園児,焼きそば,0,191,1,2,0,焼きそば,0,皿,0,,0,,0,,0,2,2016/9/21 10:32
176,1,おかずパック　バザー,バザー,0,0,2,0,0,,0,,0,,0,,0,,0,2,2015/7/17 13:07
177,0,おやつ　バザー,バザー,0,0,2,0,0,,0,,0,,0,,0,,0,2,2015/7/17 13:07
178,0,からあげ　バザー,バザー,0,0,2,0,0,,0,,0,,0,,0,,0,2,2015/7/17 13:07
179,0,からあげとポテト　バザー,バザー,0,0,2,0,0,,0,,0,,0,,0,,0,2,2015/7/17 13:07
180,0,クリームコンフェ　バザー,バザー,0,0,2,0,0,,0,,0,,0,,0,,0,2,2015/7/17 13:07
181,0,クレープ　バザー,バザー,0,0,2,0,0,,0,,0,,0,,0,,0,2,2015/7/17 13:07
182,0,チキンナゲット　バザー,バザー,0,0,2,0,0,,0,,0,,0,,0,,0,2,2015/7/17 13:07
183,0,おにぎり　バザー,バザー,0,0,2,0,0,,0,,0,,0,,0,,0,2,2015/7/17 13:07
184,0,たこやき　バザー,バザー,0,0,2,0,0,,0,,0,,0,,0,,0,3,2015/10/21 17:31
185,0,ドーナッツ　バザー,バザー,0,0,2,0,0,,0,,0,,0,,0,,0,2,2015/7/17 13:07
186,0,ハヤシライス　バザー,バザー,0,0,2,0,0,,0,,0,,0,,0,,0,2,2015/7/17 13:07
187,1,カレー　バザー,ｶﾚｰ　ﾊﾞｻﾞｰ,0,0,1,0,0,,0,,0,,0,,0,,0,2,2016/7/19 13:51
188,1,プチドック,ﾌﾟﾁﾄﾞｯｸ,0,0,1,0,0,,0,,0,,0,,0,,0,2,2015/10/14 11:00
189,0,フランクフルト　バザー,バザー,0,0,2,0,0,,0,,0,,0,,0,,0,2,2015/7/17 13:08
190,0,ポテト　バザー,バザー,0,0,2,0,0,,0,,0,,0,,0,,0,2,2015/7/17 13:08
191,0,焼きそば　先生,焼きそば　先生,0,0,1,0,0,,0,,0,,0,,0,,0,2,2016/9/26 14:24
192,1,メディカル,メディカル,0,0,1,1,0,ごはん①　８Ｋ,0,ごはん②　８Ｋ,0,ごはん③　８Ｋ,0,,0,,0,2,2015/7/17 13:08
193,1,管理職,管理職,0,0,0,0,0,,0,,0,,0,,0,,0,2,2015/7/17 13:08
194,1,実習生,実習生,0,194,0,0,0,,0,,0,,0,,0,,0,2,2014/10/24 16:25
195,1,保護者様用,保護者様用,0,0,0,0,0,,0,,0,,0,,0,,0,2,2015/8/17 11:46
196,1,消毒液,消毒液,3500,0,1,0,0,,0,,0,,0,,0,,0,2,2011/11/17 14:16
197,1,フルーツ,フルーツ,0,0,1,0,0,,0,,0,,0,,0,,0,2,2011/11/29 12:58
198,1,ケーキ,ケーキ,0,0,1,0,0,,0,,0,,0,,0,,0,2,2011/12/20 11:12
199,1,特別ランチ　園児用,特別ランチ,0,480,1,1,18,,0,,0,,0,,0,,0,2,2019/2/20 14:47
200,1,ごはん用保温箱,ごはん用保温箱,0,0,2,2,0,ごはん,1,,0,,0,,0,,0,2,2024/4/15 15:44
201,2,ルー用保温箱,ルー用保温箱,0,0,2,2,0,　　　　　用保温箱,0,,0,,0,,0,,0,2,2014/6/24 16:22
202,2,アーモンドミニフィッシュ,アーモンドミニフィッシュ,0,0,2,2,0,ｱｰﾓﾝﾄﾞﾐﾆﾌｨｯｼｭ,0,,0,,0,,0,,0,2,2023/11/29 15:27
203,2,ミニフィッシュ,ミニフィッシュ,0,0,2,2,0,ミニフィッシュ,0,,0,,0,,0,,0,2,2023/11/29 15:26
204,2,１０ｇチーズ,１０ｇチーズ,0,0,2,2,0,１０ｇチーズ,0,,0,,0,,,,,2,2011/10/11 15:13
205,2,型抜きチーズ,型抜きチーズ,0,0,2,2,0,型抜きチーズ,0,,0,,0,,,,,2,2011/10/11 15:13
206,2,おかわり用保温箱　２K,おかわり用保温箱　２K,0,0,2,2,0,おかわり用保温箱,0,,0,,0,,0,,0,2,2011/12/5 11:51
207,2,おかわり用保温箱　３K,おかわり用保温箱　３K,0,0,2,2,0,おかわり用保温箱,0,,0,,0,,0,,0,2,2024/12/2 14:07
208,2,おかわり用保温箱　４K,おかわり用保温箱　４K,0,0,2,2,0,おかわり用保温箱,0,,0,,0,,0,,0,2,2011/12/5 11:51
209,2,おかわり用保温箱　５K,おかわり用保温箱　５K,0,0,2,2,0,おかわり用保温箱,0,,0,,0,,0,,0,2,2011/12/5 11:51
210,2,おかわり用保温箱　１K,おかわり用保温箱　１K,0,0,2,2,0,おかわり用保温箱,0,,0,,0,,0,,0,2,2018/6/14 16:37
211,2,おかわり用保温箱　１．５K,おかわり用保温箱　１．５K,0,0,2,2,0,おかわり用保温箱,0,,0,,0,,0,,0,2,2018/6/14 16:38
212,2,おわかり用保温箱　２．５K,おかわり用保温箱　２．５K,0,0,2,2,0,おかわり用保温箱,0,,0,,0,,0,,0,2,2018/6/14 16:38
213,2,ウィンナー,ウィンナー,0,0,2,2,0,ウィンナー,0,,0,,0,,0,,0,2,2011/10/17 16:41
214,2,チキンナゲット,チキンナゲット,0,0,2,2,0,チキンナゲット,0,,0,,0,,0,,0,2,2011/10/17 16:42
215,2,唐揚,唐揚,0,0,2,2,0,唐揚,0,,0,,0,,0,,0,2,2011/10/17 16:42
216,2,くま皿,くま皿,0,0,2,2,0,くま皿,0,,0,,0,,0,,0,2,2011/10/28 17:41
217,2,つけもの,つぼ漬け,0,0,2,2,0,つぼ漬け,0,,0,,0,,0,,0,2,2011/11/15 17:28
218,2,つけもの,福神漬け,0,0,2,2,0,福神漬け,0,,0,,0,,0,,0,2,2011/11/15 17:29
